epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
164,2.189627,0.999702,0.315643,0.994005,4.399533,0.00045188,0.0000,8.98
165,2.191781,0.999851,0.322513,0.992806,4.418653,0.00044649,0.0000,8.97
166,2.184414,1.000000,0.333845,0.995204,4.426548,0.00044112,0.0000,8.96
167,2.187130,0.999851,0.355475,0.990408,4.311722,0.00043575,0.0000,8.99
168,2.186324,1.000000,0.324257,0.991607,4.473803,0.00043039,0.0000,8.93
169,2.181971,1.000000,0.372984,0.995204,4.252367,0.00042503,0.0000,8.96
170,2.179789,0.999702,0.347551,0.992806,4.365489,0.00041969,0.0000,8.95
171,2.179384,0.999851,0.343462,0.990408,4.331015,0.00041435,0.0000,9.02
172,2.179700,0.999702,0.337601,0.994005,4.422036,0.00040903,0.0000,9.28
173,2.181913,0.999554,0.347602,0.994005,4.340793,0.00040372,0.0000,9.29
174,2.178464,1.000000,0.344714,0.992806,4.338111,0.00039841,0.0000,9.31
175,2.177565,0.999702,0.333477,0.994005,4.458158,0.00039312,0.0000,9.78
176,2.177601,0.999851,0.297170,0.992806,4.562640,0.00038784,0.0000,9.70
177,2.174706,1.000000,0.323575,0.994005,4.468933,0.00038258,0.0000,9.59
178,2.170539,1.000000,0.344505,0.994005,4.451923,0.00037733,0.0000,9.75
179,2.173655,0.999851,0.363054,0.992806,4.260222,0.00037209,0.0000,9.91
180,2.169956,0.999851,0.310716,0.995204,4.578675,0.00036687,0.0000,9.63
181,2.172621,1.000000,0.304083,0.994005,4.560811,0.00036166,0.0000,9.69
182,2.170205,1.000000,0.337254,0.994005,4.497356,0.00035647,0.0000,9.44
183,2.168219,0.999851,0.308939,0.994005,4.537225,0.00035130,0.0000,8.99
184,2.166424,0.999851,0.366806,0.992806,4.274584,0.00034615,0.0000,9.50
185,2.168950,0.999702,0.299069,0.991607,4.624795,0.00034101,0.0000,9.30
186,2.166198,0.999702,0.319833,0.996403,4.541755,0.00033589,0.0000,9.64
187,2.161263,1.000000,0.388127,0.996403,4.266510,0.00033079,0.0000,9.67
188,2.160227,0.999851,0.366609,0.991607,4.370832,0.00032571,0.0000,9.56
189,2.162500,1.000000,0.346479,0.994005,4.435773,0.00032065,0.0000,9.43
190,2.164217,0.999851,0.316007,0.996403,4.582054,0.00031562,0.0000,9.62
191,2.163877,0.999851,0.302166,0.992806,4.615370,0.00031060,0.0000,9.64
192,2.159305,1.000000,0.329311,0.995204,4.503237,0.00030561,0.0000,9.94
193,2.161106,0.999851,0.309247,0.995204,4.590831,0.00030064,0.0000,9.93
194,2.161021,0.999851,0.326482,0.995204,4.515089,0.00029569,0.0000,9.93
195,2.158617,0.999851,0.334079,0.997602,4.524059,0.00029077,0.0000,9.72
196,2.155964,1.000000,0.337997,0.996403,4.495154,0.00028587,0.0000,9.74
197,2.154279,1.000000,0.351612,0.992806,4.444258,0.00028099,0.0000,9.68
198,2.155870,1.000000,0.321303,0.994005,4.577025,0.00027615,0.0000,9.71
199,2.156750,0.999851,0.315691,0.996403,4.586520,0.00027132,0.0000,9.89
200,2.154118,1.000000,0.348370,0.997602,4.467093,0.00026653,0.0000,10.45
201,2.154511,1.000000,0.315745,0.996403,4.552639,0.00026176,0.0000,10.42
202,2.152053,1.000000,0.330083,0.995204,4.546404,0.00025702,0.0000,10.62
203,2.151067,1.000000,0.320602,0.996403,4.586277,0.00025231,0.0000,10.27
204,2.152596,1.000000,0.329781,0.996403,4.526825,0.00024763,0.0000,10.28
205,2.152720,1.000000,0.357078,0.995204,4.389575,0.00024298,0.0000,10.32
206,2.147914,1.000000,0.327092,0.996403,4.571479,0.00023836,0.0000,10.32
207,2.145094,1.000000,0.295620,0.998801,4.696615,0.00023377,0.0000,10.03
208,2.147594,1.000000,0.320090,0.994005,4.573782,0.00022921,0.0000,10.27
209,2.147856,1.000000,0.333537,0.995204,4.525881,0.00022468,0.0000,10.43
210,2.142928,1.000000,0.316430,0.996403,4.616977,0.00022019,0.0000,10.46
211,2.147663,1.000000,0.322297,0.995204,4.600195,0.00021572,0.0000,10.38
212,2.143599,1.000000,0.362833,0.996403,4.431271,0.00021130,0.0000,10.01
213,2.143374,1.000000,0.340865,0.997602,4.551611,0.00020690,0.0000,10.32
214,2.141799,1.000000,0.308687,0.997602,4.668695,0.00020254,0.0000,10.83
215,2.138803,0.999851,0.343192,0.996403,4.526581,0.00019822,0.0000,14.78
216,2.143784,0.999851,0.314917,0.996403,4.619332,0.00019393,0.0000,12.00
217,2.141946,1.000000,0.314245,0.995204,4.640063,0.00018967,0.0000,9.80
218,2.139894,1.000000,0.323839,0.995204,4.600799,0.00018545,0.0000,8.99
219,2.141225,0.999851,0.316611,0.995204,4.660861,0.00018127,0.0000,8.94
220,2.140311,0.999851,0.308871,0.996403,4.666214,0.00017713,0.0000,8.93
221,2.138735,1.000000,0.318110,0.996403,4.655958,0.00017303,0.0000,8.96
222,2.138663,1.000000,0.305384,0.995204,4.700798,0.00016896,0.0000,8.92
223,2.137404,1.000000,0.308299,0.996403,4.703560,0.00016493,0.0000,8.86
224,2.137936,1.000000,0.312605,0.997602,4.679371,0.00016094,0.0000,8.94
225,2.136468,1.000000,0.306268,0.996403,4.685481,0.00015699,0.0000,8.93
226,2.139530,1.000000,0.310822,0.995204,4.667306,0.00015309,0.0000,8.90
227,2.140253,1.000000,0.301530,0.995204,4.709904,0.00014922,0.0000,8.85
228,2.138484,1.000000,0.312728,0.996403,4.687509,0.00014539,0.0000,8.88
229,2.134675,1.000000,0.343323,0.995204,4.566845,0.00014161,0.0000,8.90
230,2.132953,1.000000,0.312391,0.995204,4.675808,0.00013787,0.0000,8.92
231,2.134091,1.000000,0.329393,0.995204,4.616432,0.00013417,0.0000,8.97
232,2.131973,1.000000,0.314558,0.995204,4.697964,0.00013051,0.0000,8.93
233,2.132693,1.000000,0.313100,0.996403,4.688876,0.00012690,0.0000,8.91
234,2.129253,1.000000,0.317806,0.995204,4.672449,0.00012333,0.0000,8.88
235,2.130507,1.000000,0.332430,0.997602,4.632158,0.00011980,0.0000,8.89
236,2.130573,1.000000,0.322293,0.997602,4.668558,0.00011632,0.0000,8.89
237,2.129835,1.000000,0.300801,0.997602,4.735727,0.00011288,0.0000,8.91
238,2.131545,1.000000,0.321805,0.997602,4.658937,0.00010949,0.0000,8.94
239,2.131883,1.000000,0.324918,0.996403,4.644151,0.00010615,0.0000,8.94
240,2.132333,1.000000,0.305675,0.997602,4.727441,0.00010285,0.0000,8.88
241,2.127567,1.000000,0.313553,0.996403,4.694786,0.00009960,0.0000,8.95
242,2.133223,1.000000,0.301772,0.995204,4.743775,0.00009640,0.0000,8.90
243,2.130332,1.000000,0.308417,0.996403,4.721776,0.00009324,0.0000,8.91
244,2.127405,1.000000,0.319511,0.996403,4.677822,0.00009013,0.0000,9.09
245,2.128405,1.000000,0.311450,0.996403,4.709645,0.00008707,0.0000,8.91
246,2.123539,1.000000,0.312092,0.996403,4.701311,0.00008406,0.0000,8.88
247,2.124495,1.000000,0.314479,0.995204,4.688043,0.00008109,0.0000,8.91
248,2.128968,1.000000,0.321741,0.996403,4.682938,0.00007818,0.0000,8.96
249,2.130136,1.000000,0.322914,0.996403,4.666581,0.00007531,0.0000,8.97
250,2.124027,0.999851,0.314400,0.997602,4.709375,0.00007250,0.0000,8.91
251,2.122754,1.000000,0.323005,0.997602,4.673373,0.00006974,0.0000,9.00
252,2.125789,1.000000,0.316384,0.996403,4.712453,0.00006702,0.0000,8.85
253,2.126481,1.000000,0.322839,0.996403,4.664315,0.00006436,0.0000,8.89
254,2.122896,1.000000,0.312679,0.997602,4.726140,0.00006175,0.0000,8.88
255,2.124923,1.000000,0.311071,0.997602,4.730600,0.00005919,0.0000,8.91
256,2.122740,1.000000,0.318462,0.997602,4.701310,0.00005668,0.0000,8.95
257,2.123722,1.000000,0.317303,0.996403,4.718707,0.00005422,0.0000,8.91
258,2.125985,1.000000,0.317918,0.997602,4.719873,0.00005182,0.0000,8.91
259,2.121732,1.000000,0.309756,0.996403,4.734638,0.00004946,0.0000,8.91
260,2.124521,1.000000,0.323497,0.997602,4.695919,0.00004717,0.0000,8.89
261,2.119043,1.000000,0.319344,0.996403,4.711262,0.00004492,0.0000,9.00
262,2.121303,1.000000,0.317973,0.996403,4.726721,0.00004273,0.0000,8.98
263,2.121991,1.000000,0.311251,0.997602,4.744856,0.00004059,0.0000,8.95
264,2.121540,1.000000,0.313420,0.996403,4.738232,0.00003851,0.0000,8.94
265,2.121350,1.000000,0.316230,0.996403,4.726691,0.00003648,0.0000,8.98
266,2.121173,1.000000,0.314778,0.996403,4.735234,0.00003450,0.0000,8.98
267,2.122361,1.000000,0.315359,0.996403,4.720255,0.00003258,0.0000,8.92
268,2.120408,0.999851,0.313225,0.996403,4.732757,0.00003071,0.0000,8.93
269,2.121920,0.999851,0.309258,0.995204,4.749682,0.00002890,0.0000,8.94
270,2.121064,0.999851,0.315686,0.995204,4.723713,0.00002715,0.0000,8.95
271,2.118277,1.000000,0.323523,0.996403,4.709510,0.00002545,0.0000,9.00
272,2.119225,1.000000,0.314000,0.996403,4.737429,0.00002380,0.0000,8.93
273,2.119640,1.000000,0.315833,0.996403,4.731768,0.00002221,0.0000,8.88
274,2.116021,0.999851,0.323149,0.996403,4.703038,0.00002068,0.0000,8.94
275,2.123062,1.000000,0.317288,0.996403,4.720934,0.00001921,0.0000,8.86
276,2.120946,1.000000,0.319890,0.995204,4.721209,0.00001779,0.0000,8.92
277,2.121225,1.000000,0.312721,0.996403,4.737650,0.00001642,0.0000,8.89
278,2.123035,1.000000,0.317131,0.996403,4.717472,0.00001512,0.0000,8.88
279,2.116411,1.000000,0.315378,0.996403,4.729903,0.00001387,0.0000,8.90
280,2.120214,1.000000,0.312301,0.996403,4.744571,0.00001268,0.0000,8.94
281,2.118487,1.000000,0.312706,0.995204,4.744640,0.00001154,0.0000,8.98
282,2.117785,1.000000,0.318969,0.996403,4.721199,0.00001047,0.0000,8.91
283,2.118464,1.000000,0.318160,0.996403,4.724273,0.00000945,0.0000,8.93
284,2.116915,1.000000,0.316706,0.996403,4.719736,0.00000848,0.0000,8.89
