global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
139,3,39,2.068421,3.056376,0.8996,2.740953,0.7122,0.003754,3,33.6
140,3,40,2.049306,3.033613,0.9008,2.743973,0.7098,0.003292,3,33.5
141,3,41,2.037673,3.029500,0.9014,2.743754,0.6954,0.002868,3,33.4
142,3,42,2.013034,3.031680,0.9050,2.699834,0.7182,0.002484,3,33.5
143,3,43,2.020008,2.990940,0.9132,2.655254,0.7170,0.002142,3,33.3
144,3,44,1.996834,2.997320,0.9195,2.678429,0.7170,0.001843,3,33.2
145,3,45,1.982389,2.994963,0.9219,2.647603,0.7170,0.001587,3,32.9
146,3,46,1.969248,2.975119,0.9243,2.655810,0.7266,0.001377,3,33.1
147,3,47,1.976432,2.968021,0.9240,2.644873,0.7158,0.001213,3,33.0
148,3,48,1.970596,2.962531,0.9285,2.639820,0.7206,0.001095,3,33.5
149,3,49,1.956387,2.963653,0.9327,2.642366,0.7266,0.001024,3,33.4
150,3,50,1.954336,2.956984,0.9294,2.647938,0.7158,0.001000,3,33.4
