epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
277,1.928867,1.000000,0.001575,0.998801,33.924908,0.00001642,0.0000,8.98
278,2.026180,1.000000,0.001900,0.998801,33.873074,0.00001512,0.0000,9.03
279,1.890281,0.999851,0.001246,0.998801,33.886218,0.00001387,0.0000,9.47
280,2.005393,0.999851,0.001292,0.998801,33.966201,0.00001268,0.0000,8.97
281,1.989601,1.000000,0.002046,0.998801,33.976489,0.00001154,0.0000,9.05
282,1.935694,1.000000,0.001836,0.998801,33.943547,0.00001047,0.0000,12.10
283,1.979882,1.000000,0.001876,0.998801,33.941789,0.00000945,0.0000,13.76
284,1.931568,1.000000,0.001646,0.998801,33.921121,0.00000848,0.0000,10.32
285,1.999664,1.000000,0.001433,0.998801,33.894197,0.00000758,0.0000,9.77
286,1.924538,1.000000,0.001559,0.998801,33.902896,0.00000673,0.0000,9.67
287,1.992442,1.000000,0.002049,0.998801,33.914963,0.00000595,0.0000,9.63
288,2.028607,1.000000,0.001865,0.998801,33.953603,0.00000521,0.0000,9.62
289,1.908435,1.000000,0.001494,0.998801,33.955219,0.00000454,0.0000,9.63
290,1.950129,1.000000,0.001571,0.998801,33.979607,0.00000393,0.0000,9.75
291,1.926901,0.999851,0.001579,0.998801,33.937350,0.00000337,0.0000,9.68
292,2.006165,1.000000,0.002017,0.998801,33.923681,0.00000287,0.0000,9.80
293,1.904018,1.000000,0.001420,0.998801,33.964225,0.00000244,0.0000,9.92
294,1.976056,1.000000,0.002405,0.998801,33.986668,0.00000205,0.0000,13.34
295,1.906399,1.000000,0.001764,0.998801,33.951235,0.00000173,0.0000,13.35
296,1.946102,1.000000,0.001538,0.998801,33.974349,0.00000147,0.0000,13.35
297,1.945917,1.000000,0.002242,0.998801,33.962065,0.00000126,0.0000,13.45
298,1.969441,1.000000,0.001217,1.000000,33.926468,0.00000112,0.0000,13.60
299,1.964299,1.000000,0.002304,0.998801,33.956722,0.00000103,0.0000,13.37
300,1.983615,0.999851,0.001971,0.998801,33.997986,0.00000100,0.0000,13.33
