epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
51,11.054194,2.60893,8.445264,16.752337,0.051196,0.69095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769,1.027726,0.9257,0.00095154,32.0,2.108019
52,10.923213,2.596213,8.327,16.516586,0.051278,0.687069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9778,0.716458,0.9628,0.00094918,32.0,2.758648
53,10.7825,2.586398,8.196102,16.255612,0.0507,0.682961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9812,0.779202,0.9652,0.00094678,32.3,2.615412
54,10.689395,2.577111,8.112284,16.08858,0.05087,0.679941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821,0.698427,0.9652,0.00094432,32.1,2.902369
55,10.536703,2.562713,7.97399,15.812798,0.050813,0.675907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848,0.753928,0.946,0.00094181,32.4,2.696654
56,10.444636,2.554234,7.890403,15.646146,0.050049,0.673297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9856,0.896082,0.9281,0.00093925,32.4,2.221202
57,10.267435,2.538689,7.728747,15.323828,0.049815,0.66833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,0.633518,0.9772,0.00093664,32.4,3.058436
58,10.183634,2.533385,7.650249,15.167351,0.049968,0.665737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853,0.614405,0.9736,0.00093398,31.8,3.021208
59,10.110441,2.530954,7.579487,15.026242,0.049592,0.663658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9882,0.72601,0.9424,0.00093126,32.2,2.593527
60,10.006105,2.522019,7.484086,14.835998,0.050174,0.660868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9866,0.630113,0.9664,0.0009285,32.2,3.010359
61,9.872815,2.514711,7.358104,14.584881,0.049452,0.65663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.61621,0.9724,0.00092569,32.3,3.098773
62,9.73575,2.502794,7.232957,14.33521,0.050006,0.653517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.612926,0.9772,0.00092282,32.2,3.194534
