epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
155,4.508642,0.999851,0.016045,0.997602,30.936730,0.030911,0.999851,0.00050050,0.0000,34.58
156,4.519782,0.999851,0.012280,0.996403,30.444616,0.030094,0.999851,0.00049509,0.0000,35.19
157,4.481133,0.999851,0.017549,0.995204,30.920302,0.031632,1.000000,0.00048968,0.0000,34.93
158,4.397727,0.999851,0.012425,0.997602,30.571088,0.030288,1.000000,0.00048427,0.0000,32.78
159,4.497547,0.999851,0.006698,0.997602,30.760553,0.032112,1.000000,0.00047886,0.0000,32.66
160,4.408014,0.999851,0.008966,0.997602,30.213672,0.031648,1.000000,0.00047346,0.0000,30.77
161,4.325249,0.999851,0.017410,0.997602,30.781163,0.029280,1.000000,0.00046806,0.0000,30.52
162,4.337594,0.999851,0.011695,0.995204,30.658401,0.028416,1.000000,0.00046266,0.0000,30.88
163,4.291805,0.999851,0.015113,0.998801,30.695389,0.029311,0.999702,0.00045727,0.0000,31.82
164,4.209595,0.999851,0.010709,0.996403,30.921395,0.027355,1.000000,0.00045188,0.0000,30.59
165,4.253658,0.999851,0.010789,0.997602,30.928035,0.030647,1.000000,0.00044649,0.0000,29.73
166,4.099930,0.999851,0.008391,0.996403,31.129412,0.028032,1.000000,0.00044112,0.0000,33.17
167,4.197581,0.999851,0.020211,0.995204,31.109199,0.030655,1.000000,0.00043575,0.0000,32.74
168,4.077383,0.999851,0.018849,0.996403,31.422886,0.027864,1.000000,0.00043039,0.0000,30.41
169,4.112876,0.999851,0.017485,0.996403,30.948321,0.025148,1.000000,0.00042503,0.0000,31.76
170,4.096385,0.999851,0.014936,0.996403,31.348176,0.027510,1.000000,0.00041969,0.0000,32.57
171,4.008378,0.999851,0.013501,0.996403,31.403502,0.025394,1.000000,0.00041435,0.0000,31.83
172,3.965105,0.999851,0.016241,0.996403,31.076999,0.024370,0.999851,0.00040903,0.0000,30.77
173,3.941197,0.999851,0.009170,0.997602,31.459089,0.023362,1.000000,0.00040372,0.0000,30.23
174,3.958552,0.999851,0.011125,0.997602,31.571518,0.027222,1.000000,0.00039841,0.0000,31.60
175,3.867422,0.999851,0.010028,0.997602,31.690863,0.023823,1.000000,0.00039312,0.0000,32.43
176,3.860916,0.999851,0.013988,0.996403,31.548628,0.023381,1.000000,0.00038784,0.0000,32.90
177,3.822232,0.999851,0.017391,0.997602,31.400683,0.023713,1.000000,0.00038258,0.0000,31.53
178,3.781366,0.999851,0.014249,0.996403,31.665744,0.024153,1.000000,0.00037733,0.0000,32.64
179,3.739328,0.999851,0.017615,0.997602,31.737688,0.023965,1.000000,0.00037209,0.0000,31.33
180,3.796224,0.999851,0.015058,0.997602,31.563610,0.023040,1.000000,0.00036687,0.0000,32.78
181,3.762325,0.999851,0.026688,0.997602,31.552778,0.023003,1.000000,0.00036166,0.0000,32.20
182,3.663234,0.999851,0.012179,0.996403,31.559679,0.021963,1.000000,0.00035647,0.0000,31.32
183,3.683849,0.999851,0.019944,0.997602,31.742648,0.025025,0.999851,0.00035130,0.0000,32.85
184,3.733454,0.999851,0.007928,0.997602,32.023606,0.023416,1.000000,0.00034615,0.0000,31.66
185,3.681214,0.999851,0.013246,0.996403,31.983550,0.021794,1.000000,0.00034101,0.0000,33.19
186,3.674596,0.999851,0.014507,0.997602,32.102701,0.020632,1.000000,0.00033589,0.0000,31.79
187,3.598729,0.999851,0.013431,0.998801,32.032101,0.020984,1.000000,0.00033079,0.0000,33.08
188,3.558184,0.999851,0.016582,0.996403,31.906739,0.020576,1.000000,0.00032571,0.0000,32.61
189,3.593469,0.999851,0.013079,0.997602,32.113263,0.020987,1.000000,0.00032065,0.0000,31.38
190,3.458004,0.999851,0.017139,0.996403,31.859880,0.020513,1.000000,0.00031562,0.0000,25.05
191,3.579855,0.999851,0.016437,0.997602,31.858717,0.021837,1.000000,0.00031060,0.0000,24.90
192,3.531036,0.999851,0.010268,0.997602,31.933946,0.020989,1.000000,0.00030561,0.0000,24.59
193,3.394811,1.000000,0.011269,0.998801,32.094545,0.019311,1.000000,0.00030064,0.0000,24.80
194,3.459000,0.999851,0.010319,0.997602,32.337951,0.019236,1.000000,0.00029569,0.0000,24.70
195,3.399502,1.000000,0.013843,0.996403,32.065942,0.019151,0.999851,0.00029077,0.0000,24.54
196,3.394736,1.000000,0.014183,0.996403,32.227434,0.019023,0.999851,0.00028587,0.0000,24.69
197,3.375631,0.999851,0.010842,0.998801,32.474920,0.018145,1.000000,0.00028099,0.0000,24.78
198,3.352321,0.999851,0.013712,0.997602,32.269714,0.019044,0.999851,0.00027615,0.0000,24.78
199,3.329363,0.999851,0.020756,0.998801,32.272589,0.018455,1.000000,0.00027132,0.0000,24.87
200,3.338715,1.000000,0.013636,0.998801,32.539239,0.018909,1.000000,0.00026653,0.0000,24.70
201,3.255754,0.999851,0.012432,0.998801,32.517622,0.018657,1.000000,0.00026176,0.0000,24.76
202,3.285220,0.999851,0.017409,0.997602,32.218414,0.017780,1.000000,0.00025702,0.0000,24.69
203,3.229433,0.999851,0.016322,0.997602,32.517658,0.017685,0.999851,0.00025231,0.0000,25.03
204,3.236523,0.999851,0.018590,0.996403,32.622819,0.018755,1.000000,0.00024763,0.0000,24.86
205,3.213401,0.999851,0.010107,0.997602,32.710534,0.017586,1.000000,0.00024298,0.0000,24.50
206,3.155733,0.999851,0.021325,0.996403,32.786109,0.016456,1.000000,0.00023836,0.0000,24.43
207,3.222977,1.000000,0.014753,0.996403,32.690752,0.017997,0.999851,0.00023377,0.0000,24.42
208,3.119997,0.999851,0.013319,0.997602,32.728074,0.016017,1.000000,0.00022921,0.0000,24.38
209,3.119325,0.999851,0.024809,0.995204,32.757042,0.018419,1.000000,0.00022468,0.0000,24.32
210,3.079512,0.999851,0.016691,0.997602,32.822763,0.017077,0.999851,0.00022019,0.0000,24.28
211,3.104306,0.999851,0.017337,0.997602,32.801107,0.016097,0.999851,0.00021572,0.0000,24.33
212,3.053666,0.999851,0.020196,0.997602,32.875657,0.015925,1.000000,0.00021130,0.0000,24.34
213,3.047796,1.000000,0.019142,0.997602,32.747014,0.016078,1.000000,0.00020690,0.0000,24.92
214,3.001907,0.999851,0.017391,0.996403,32.834074,0.016855,0.999851,0.00020254,0.0000,25.61
215,2.951393,0.999851,0.013364,0.998801,32.893697,0.014764,0.999851,0.00019822,0.0000,26.55
216,3.012203,1.000000,0.014074,0.997602,32.973568,0.014649,1.000000,0.00019393,0.0000,24.68
217,2.923982,1.000000,0.012417,0.998801,33.065187,0.015216,1.000000,0.00018967,0.0000,24.29
218,2.996577,1.000000,0.014320,0.997602,32.993237,0.016744,0.999851,0.00018545,0.0000,24.25
219,2.928499,1.000000,0.016771,0.996403,33.035523,0.016353,0.999851,0.00018127,0.0000,24.28
220,2.995179,1.000000,0.022521,0.995204,33.022853,0.014447,1.000000,0.00017713,0.0000,24.28
221,2.942217,0.999851,0.015784,0.997602,33.180098,0.015441,0.999851,0.00017303,0.0000,24.37
222,2.894789,1.000000,0.021813,0.996403,33.166675,0.015821,1.000000,0.00016896,0.0000,24.31
223,2.862078,1.000000,0.015378,0.997602,33.114622,0.013617,1.000000,0.00016493,0.0000,25.00
224,2.861221,0.999851,0.014987,0.997602,33.060738,0.015307,0.999851,0.00016094,0.0000,25.08
225,2.774777,1.000000,0.018425,0.996403,33.108034,0.014969,1.000000,0.00015699,0.0000,24.36
