epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
43,4.851225,2.578655,2.27257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055359,0.277151,0.0,0.0,1.0,2.61587,0.9952,1.355e-05,20.7,2.183231
44,4.846803,2.580701,2.266102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055431,0.276334,0.0,0.0,1.0,2.59897,0.994,1.291e-05,20.6,2.194961
45,4.85375,2.59028,2.263469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055687,0.275973,0.0,0.0,0.9998,2.605749,0.994,1.227e-05,20.9,2.190535
46,4.835955,2.569518,2.266438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055116,0.276415,0.0,0.0,1.0,2.592383,0.994,1.164e-05,20.6,2.195293
47,4.843895,2.573242,2.270653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055231,0.276928,0.0,0.0,0.9998,2.605443,0.994,1.102e-05,20.8,2.191038
48,4.829343,2.566331,2.263011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055071,0.275993,0.0,0.0,1.0,2.59599,0.994,1.041e-05,20.7,2.197324
49,4.832595,2.565024,2.267571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05504,0.276566,0.0,0.0,1.0,2.59765,0.994,9.8e-06,20.8,2.191917
50,4.831479,2.569958,2.261521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05516,0.275795,0.0,0.0,1.0,2.597605,0.994,9.21e-06,20.7,2.192976
51,4.829018,2.562773,2.266245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054993,0.276406,0.0,0.0,0.9998,2.602802,0.994,8.63e-06,20.6,2.190144
52,4.831029,2.576437,2.254592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05537,0.274903,0.0,0.0,1.0,2.592468,0.9952,8.06e-06,20.7,2.19385
53,4.831138,2.569412,2.261726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055133,0.275824,0.0,0.0,1.0,2.601808,0.994,7.51e-06,20.5,2.196032
54,4.829395,2.567673,2.261722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055109,0.275827,0.0,0.0,1.0,2.593894,0.9952,6.98e-06,20.5,2.194407
