epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
32,0.837804,2.411965,0.596608,0.0,0.0,0.596608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.52529762,0.9999,0.001796,0.9988,2.459e-05,36.6,33.237909
33,0.818968,2.301524,0.588816,0.0,0.0,0.588816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.6514881,1.0,0.001329,0.9988,2.422e-05,36.5,33.296056
34,0.824053,2.420495,0.582003,0.0,0.0,0.582003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.53214286,1.0,0.001205,1.0,2.383e-05,36.6,33.296361
35,0.806179,2.3187,0.574309,0.0,0.0,0.574309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.60684524,0.9999,0.001411,0.9988,2.343e-05,33.8,33.248901
36,0.800268,2.324873,0.567781,0.0,0.0,0.567781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.67708333,0.9999,0.001142,1.0,2.303e-05,34.0,33.281425
37,0.790255,2.285551,0.5617,0.0,0.0,0.5617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.71502976,1.0,0.00182,0.9988,2.261e-05,34.1,33.295738
38,0.785023,2.295235,0.555499,0.0,0.0,0.555499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.70014881,1.0,0.001522,1.0,2.219e-05,33.9,33.321746
39,0.774346,2.245571,0.549789,0.0,0.0,0.549789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.68630952,0.9999,0.00137,1.0,2.176e-05,33.9,33.352677
40,0.772091,2.27403,0.544688,0.0,0.0,0.544688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.67723214,1.0,0.001584,1.0,2.132e-05,33.8,33.306619
41,0.775023,2.355734,0.53945,0.0,0.0,0.53945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,26.61934524,1.0,0.000762,1.0,2.088e-05,34.3,33.320409
