epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,loss_fcd,loss_arcface_raw,loss_arcface_weighted,loss_logit_kd_weighted,logit_kd_effective_weight,loss_ce_weighted,loss_ls_kd,loss_ls_kd_weighted,student_logit_std,teacher_logit_std,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
32,13.195303,3.028553,1.129639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02855314,1.12963887,10.16674985,1.93358812,6.27101401,0.8539,1.277725,0.8657,0.00098588,26.7,1.550514
33,13.000006,2.977301,1.113634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97730089,1.1136339,10.02270508,1.92412956,6.27047464,0.871,0.880139,0.9269,0.00098458,26.9,2.219697
34,12.875087,2.951133,1.102662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95113294,1.10266152,9.92395367,1.91127796,6.27026163,0.8817,1.238311,0.8657,0.00098321,26.9,1.661142
35,12.60055,2.889591,1.078996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88959055,1.07899553,9.71095979,1.9034971,6.27122013,0.897,1.598965,0.7446,0.00098179,27.1,1.001067
36,12.357433,2.838135,1.0577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83813544,1.05769972,9.51929745,1.87984754,6.2716568,0.9129,0.858011,0.94,0.00098032,27.0,2.351239
37,12.158195,2.790407,1.040865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79040694,1.04086536,9.36778829,1.86106152,6.2692676,0.9199,0.77629,0.9496,0.00097879,26.7,2.538887
38,11.958262,2.75348,1.022753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7534804,1.02275347,9.20478119,1.84404842,6.26913662,0.9333,0.7783,0.9484,0.0009772,26.9,2.576945
39,11.771765,2.722296,1.005496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72229636,1.0054965,9.04946848,1.82489225,6.27023045,0.9365,0.674376,0.9712,0.00097555,26.9,2.797745
40,11.627181,2.694821,0.992484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69482102,0.99248443,8.93235992,1.81142495,6.27013687,0.9452,0.632847,0.9652,0.00097385,27.1,2.950136
41,11.449532,2.655839,0.977077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65583927,0.97707699,8.79369291,1.79132765,6.27087488,0.9558,0.629943,0.964,0.0009721,26.8,2.956767
42,11.284345,2.638759,0.960621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63875881,0.96062068,8.64558611,1.76996541,6.27025848,0.9549,0.634264,0.9676,0.00097029,27.1,2.964301
43,11.162502,2.622492,0.94889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62249169,0.94888999,8.54000989,1.7477053,6.27069165,0.9568,0.774723,0.9472,0.00096842,26.9,2.677492
44,10.964523,2.584712,0.93109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58471151,0.93109018,8.37981159,1.73319167,6.27115962,0.9673,0.702314,0.964,0.0009665,26.7,2.861268
45,10.875075,2.578544,0.921837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57854449,0.92183674,8.29653061,1.71682387,6.26876097,0.9647,0.651545,0.97,0.00096452,26.8,3.033843
46,10.720722,2.557265,0.907051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55726532,0.90705077,8.16345693,1.69771435,6.26783988,0.9714,0.571741,0.9748,0.00096249,26.8,3.223877
47,10.61415,2.540678,0.897052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54067813,0.89705237,8.07347137,1.68223928,6.26882732,0.9713,0.613984,0.9748,0.00096041,26.8,3.021504
48,10.491264,2.530928,0.884482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53092785,0.88448179,7.96033614,1.66510587,6.26932921,0.976,0.590265,0.97,0.00095827,26.8,3.190511
49,10.337011,2.509947,0.869674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50994725,0.86967373,7.82706352,1.64881824,6.26946565,0.9784,0.589321,0.982,0.00095608,27.0,3.295478
50,10.254244,2.502759,0.861276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50275906,0.86127606,7.75148458,1.62700028,6.26867648,0.979,0.590772,0.9796,0.00095383,27.0,3.241393
51,10.093485,2.475593,0.846432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47559284,0.84643247,7.61789225,1.6186426,6.26744299,0.9818,0.567466,0.9796,0.00095154,26.9,3.347817
52,9.957516,2.465962,0.832395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46596243,0.83239483,7.49155343,1.60590135,6.27053361,0.9835,0.552666,0.9808,0.00094918,26.8,3.385695
53,9.913717,2.460713,0.828112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46071305,0.82811153,7.45300378,1.58603465,6.26929068,0.983,0.520803,0.9856,0.00094678,26.7,3.520546
54,9.84461,2.456381,0.820914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45638106,0.82091432,7.38822885,1.58221064,6.26940145,0.9848,0.631836,0.988,0.00094432,26.9,3.285356
55,9.689402,2.437782,0.805736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43778237,0.80573556,7.25162002,1.56775793,6.2706375,0.9848,0.561069,0.9748,0.00094181,26.6,3.439017
