epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,loss_fcd,loss_arcface_raw,loss_arcface_weighted,loss_logit_kd_weighted,logit_kd_effective_weight,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
46,1.89638,13.256822,0.570698,0.0,0.0,0.40345,33.44959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.2046875,0.4034499,13.25682172,1.32568219,0.16724794,0.005,0.9844,0.151714,0.976,0.00096249,39.1,17.023861
47,1.863489,13.002679,0.563221,0.0,0.0,0.398419,32.960372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.40550595,0.39841887,13.00267884,1.30026791,0.16480185,0.005,0.9862,0.151387,0.9808,0.00096041,38.5,17.394595
48,1.834356,12.778926,0.556463,0.0,0.0,0.393737,32.545287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.60535714,0.39373695,12.77892629,1.27789265,0.16272643,0.005,0.9875,0.106836,0.9832,0.00095827,38.4,18.681925
49,1.77368,12.266532,0.547027,0.0,0.0,0.387081,31.989156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.02738095,0.38708117,12.26653161,1.22665318,0.15994578,0.005,0.9876,0.091692,0.9868,0.00095608,38.0,20.485551
50,1.75663,12.145607,0.542069,0.0,0.0,0.384139,31.586118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.17581845,0.38413883,12.14560662,1.21456069,0.15793059,0.005,0.9882,0.111354,0.9868,0.00095383,38.2,20.188779
51,1.703832,11.713096,0.532522,0.0,0.0,0.377195,31.065349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.52790179,0.37719547,11.71309636,1.17130966,0.15532674,0.005,0.9911,0.122037,0.9832,0.00095154,37.9,18.26734
52,1.685048,11.57952,0.527096,0.0,0.0,0.373479,30.723507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.6485119,0.37347892,11.57951956,1.15795198,0.15361753,0.005,0.9929,0.065001,0.9916,0.00094918,38.3,21.490653
53,1.665736,11.43559,0.522177,0.0,0.0,0.370157,30.404001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.79508929,0.37015681,11.43558986,1.14355901,0.15202,0.005,0.9918,0.076886,0.988,0.00094678,38.3,20.732577
54,1.638562,11.205738,0.517989,0.0,0.0,0.367869,30.024013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.00416667,0.36786854,11.20573775,1.1205738,0.15012006,0.005,0.9932,0.080213,0.9904,0.00094432,37.5,21.529655
55,1.603236,10.927926,0.510443,0.0,0.0,0.362303,29.627938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.26108631,0.3623033,10.92792591,1.09279261,0.14813969,0.005,0.9933,0.062946,0.9928,0.00094181,38.9,21.919349
