epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
62,9.760523,2.505798,7.254725,14.373643,0.049824,0.654126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9882,0.70379,0.9712,0.00092282,32.2,2.938425
63,9.600016,2.493022,7.106994,14.079232,0.048525,0.64952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9902,0.53999,0.9784,0.00091991,32.1,3.304866
64,9.494153,2.486195,7.007959,13.881793,0.04882,0.646209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909,0.675563,0.9712,0.00091694,32.4,2.872944
65,9.450813,2.481229,6.969583,13.805259,0.049097,0.644991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911,0.663452,0.9712,0.00091393,32.3,2.86411
66,9.345592,2.480719,6.864873,13.596357,0.049029,0.642436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912,0.611261,0.9748,0.00091087,31.9,3.117652
67,9.213469,2.469005,6.744464,13.356371,0.048435,0.638571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9936,0.690517,0.976,0.00090776,31.9,2.980238
68,9.188027,2.465046,6.722981,13.313548,0.048704,0.637724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.593245,0.9748,0.0009046,31.9,3.222156
69,9.029891,2.457873,6.572018,13.012377,0.049332,0.633629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943,0.53515,0.9784,0.0009014,31.4,3.42209
70,8.918174,2.450431,6.467743,12.804557,0.047917,0.630686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.6466,0.9784,0.00089815,32.2,3.13747
71,8.836633,2.451975,6.384657,12.639015,0.048094,0.627452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.597733,0.982,0.00089485,31.7,3.262795
72,8.713577,2.434846,6.27873,12.427767,0.047159,0.624884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.506047,0.982,0.00089151,31.7,3.491933
73,8.625035,2.436517,6.188518,12.247856,0.047339,0.62223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951,0.759996,0.9652,0.00088812,31.6,2.862612
74,8.556559,2.436828,6.119731,12.110673,0.04736,0.620262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.598993,0.982,0.00088468,32.1,3.270076
75,8.512311,2.436443,6.075867,12.023194,0.047405,0.618998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948,0.567229,0.9772,0.0008812,32.2,3.22357
