epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
26,3.656033,30.686346,0.587398,0.0,0.0,0.587398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,1.27903297,0.5885,1.607776,0.6379,0.00099252,33.4,2.206449
27,3.545512,29.685615,0.57695,0.0,0.0,0.57695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,2.06140602,0.653,1.374502,0.7026,0.00099155,33.6,3.678805
28,3.415925,28.492413,0.566684,0.0,0.0,0.566684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,2.99834333,0.706,2.801185,0.5624,0.00099053,33.6,0.641042
29,3.257832,27.057773,0.552055,0.0,0.0,0.552055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,4.16060733,0.767,0.87816,0.8249,0.00098946,33.3,5.928279
30,3.13223,25.906285,0.541601,0.0,0.0,0.541601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,5.03851376,0.8028,0.984666,0.801,0.00098832,33.6,5.998445
31,2.983833,24.544045,0.529428,0.0,0.0,0.529428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,6.10680804,0.8435,1.0712,0.7998,0.00098713,33.4,6.453067
32,2.842756,23.228399,0.519916,0.0,0.0,0.519916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,7.13783482,0.8783,1.796708,0.7134,0.00098588,34.0,4.010448
33,2.72429,22.142863,0.510004,0.0,0.0,0.510004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,7.94471726,0.8946,1.017713,0.8118,0.00098458,33.4,7.111741
34,2.626892,21.265141,0.500378,0.0,0.0,0.500378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,8.61212798,0.9135,0.554222,0.9089,0.00098321,33.6,10.947486
35,2.49053,20.019644,0.488565,0.0,0.0,0.488565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,9.5765997,0.9269,0.549212,0.9113,0.00098179,33.7,10.782427
36,2.398956,19.177358,0.48122,0.0,0.0,0.48122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,10.19337798,0.9394,0.520971,0.8969,0.00098032,34.0,10.704167
