epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
36,8.806276,2.271206,6.53507,12.936863,0.040039,0.646367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.419622,0.994,0.00028174,31.7,4.01876
37,8.732828,2.267111,6.465717,12.798674,0.039696,0.643953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.392559,0.994,0.00028057,31.6,4.114341
38,8.64453,2.267517,6.377014,12.621732,0.040678,0.641137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.393842,0.994,0.00027936,31.4,4.102329
39,8.583746,2.265224,6.318522,12.50508,0.040028,0.639807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.399906,0.9952,0.00027813,32.1,4.081674
40,8.565463,2.273641,6.291822,12.451934,0.040651,0.63823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.383934,0.9952,0.00027686,32.0,4.091988
41,8.471375,2.270186,6.201188,12.27111,0.041153,0.635758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.404126,0.9928,0.00027555,31.5,4.086592
42,8.3798,2.266329,6.113471,12.09615,0.040671,0.633632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.386958,0.994,0.00027422,31.9,4.133552
43,8.350565,2.272224,6.07834,12.026243,0.040523,0.631929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.404784,0.9964,0.00027285,31.7,4.053001
44,8.241424,2.264718,5.976706,11.823453,0.040988,0.629302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.386694,0.994,0.00027145,31.4,4.148815
45,8.190546,2.263803,5.926743,11.723902,0.040893,0.627476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.41789,0.9928,0.00027002,31.9,4.105403
46,8.132651,2.261098,5.871554,11.613851,0.040887,0.62584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.420528,0.9964,0.00026855,32.2,4.047273
47,8.068892,2.264418,5.804474,11.480068,0.040817,0.623987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.396952,0.994,0.00026706,32.3,4.05541
48,8.033234,2.26777,5.765464,11.402306,0.041333,0.62245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.378719,0.994,0.00026554,31.8,4.183241
49,7.933828,2.259096,5.674731,11.221339,0.041433,0.619903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.394586,0.9916,0.00026398,32.0,4.127937
50,7.914149,2.265811,5.648339,11.168703,0.041488,0.619126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.416427,0.9928,0.0002624,32.3,4.045586
51,7.808864,2.259119,5.549745,10.972177,0.040967,0.616087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.391736,0.994,0.00026079,31.7,4.139505
52,7.737018,2.260913,5.476105,10.825345,0.041023,0.613811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.434626,0.9928,0.00025915,31.6,4.037496
53,7.682084,2.258966,5.423118,10.719675,0.04097,0.612318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.385635,0.9952,0.00025748,31.9,4.19226
54,7.651058,2.260421,5.390637,10.654947,0.040996,0.611136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.419033,0.994,0.00025579,31.6,4.091456
55,7.574437,2.254732,5.319705,10.513462,0.041331,0.609073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.400912,0.9952,0.00025406,31.9,4.114143
56,7.551431,2.259251,5.292179,10.458617,0.041431,0.60799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.392779,0.9928,0.00025231,32.0,4.159743
57,7.489179,2.264969,5.22421,10.323043,0.04145,0.606154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.390141,0.9952,0.00025054,31.9,4.215918
58,7.411045,2.255094,5.155951,10.18691,0.041473,0.604219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.405754,0.9952,0.00024873,32.1,4.148334
