epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
13,0.394264,0.162212,0.232052,0.0,0.0,0.0,0.199388,9.5e-05,0.230056,0.0,0.0,0.9998,0.28491,0.9844,1e-07,29.2
14,0.392167,0.159856,0.232311,0.0,0.0,0.0,0.199841,0.0,0.230313,0.0,0.0,1.0,0.283417,0.9856,9e-08,29.4
15,0.395701,0.161144,0.234557,0.0,0.0,0.0,0.200693,0.0,0.23255,0.0,0.0,1.0,0.28213,0.9856,9e-08,29.3
16,0.390353,0.156844,0.233509,0.0,0.0,0.0,0.201053,0.0,0.231498,0.0,0.0,1.0,0.280911,0.9856,9e-08,29.3
17,0.389626,0.156174,0.233452,0.0,0.0,0.0,0.201315,1.1e-05,0.231439,0.0,0.0,1.0,0.279895,0.9856,9e-08,29.7
18,0.393687,0.15762,0.236067,0.0,0.0,0.0,0.202271,1.5e-05,0.234044,0.0,0.0,1.0,0.278914,0.9856,9e-08,29.7
19,0.389499,0.1552,0.2343,0.0,0.0,0.0,0.199449,0.0,0.232305,0.0,0.0,1.0,0.277978,0.9856,9e-08,29.8
20,0.389549,0.152903,0.236646,0.0,0.0,0.0,0.205729,0.0,0.234589,0.0,0.0,1.0,0.27732,0.9856,8e-08,30.0
21,0.39115,0.154151,0.236999,0.0,0.0,0.0,0.20442,0.000114,0.234952,0.0,0.0,0.9998,0.276853,0.9856,8e-08,29.4
22,0.389913,0.153779,0.236134,0.0,0.0,0.0,0.202265,0.0,0.234111,0.0,0.0,1.0,0.276132,0.9856,8e-08,29.9
23,0.390898,0.153715,0.237183,0.0,0.0,0.0,0.202613,4.1e-05,0.235155,0.0,0.0,1.0,0.275568,0.9856,8e-08,30.1
24,0.389827,0.152007,0.23782,0.0,0.0,0.0,0.202316,0.0,0.235797,0.0,0.0,1.0,0.275164,0.9856,8e-08,29.9
25,0.38933,0.150979,0.238351,0.0,0.0,0.0,0.206584,0.000106,0.236282,0.0,0.0,0.9998,0.275077,0.9856,7e-08,29.6
26,0.394956,0.154893,0.240063,0.0,0.0,0.0,0.205636,0.0,0.238007,0.0,0.0,1.0,0.274525,0.9856,7e-08,29.6
27,0.392621,0.153914,0.238707,0.0,0.0,0.0,0.203955,0.0,0.236667,0.0,0.0,1.0,0.274147,0.9856,7e-08,29.7
28,0.390673,0.15206,0.238613,0.0,0.0,0.0,0.202896,6.7e-05,0.236582,0.0,0.0,1.0,0.273632,0.9856,7e-08,29.9
29,0.390835,0.151411,0.239425,0.0,0.0,0.0,0.207773,0.0,0.237347,0.0,0.0,1.0,0.273366,0.9856,6e-08,30.1
30,0.390013,0.150852,0.239162,0.0,0.0,0.0,0.203518,7.3e-05,0.237124,0.0,0.0,1.0,0.272993,0.9856,6e-08,29.8
31,0.388383,0.148911,0.239472,0.0,0.0,0.0,0.204858,0.0,0.237423,0.0,0.0,1.0,0.272862,0.9856,6e-08,29.9
32,0.389932,0.150398,0.239534,0.0,0.0,0.0,0.206048,2.1e-05,0.237473,0.0,0.0,1.0,0.272697,0.9856,6e-08,29.4
33,0.38983,0.151259,0.238571,0.0,0.0,0.0,0.206301,0.0,0.236508,0.0,0.0,1.0,0.272537,0.9856,5e-08,29.4
34,0.390718,0.150987,0.239731,0.0,0.0,0.0,0.203395,4e-06,0.237697,0.0,0.0,1.0,0.272335,0.9856,5e-08,29.8
35,0.392912,0.151592,0.24132,0.0,0.0,0.0,0.206473,5.8e-05,0.239254,0.0,0.0,1.0,0.272204,0.9856,5e-08,29.7
36,0.39038,0.150742,0.239638,0.0,0.0,0.0,0.208041,5.2e-05,0.237556,0.0,0.0,1.0,0.272144,0.9856,5e-08,30.0
37,0.390059,0.150353,0.239706,0.0,0.0,0.0,0.204656,0.0,0.237659,0.0,0.0,1.0,0.271954,0.9856,4e-08,29.9
38,0.39056,0.150708,0.239852,0.0,0.0,0.0,0.208211,0.000192,0.237764,0.0,0.0,0.9998,0.271761,0.9856,4e-08,29.5
39,0.392217,0.150773,0.241444,0.0,0.0,0.0,0.206823,0.0,0.239376,0.0,0.0,1.0,0.271685,0.9856,4e-08,29.3
40,0.388879,0.148135,0.240744,0.0,0.0,0.0,0.20702,1.7e-05,0.238674,0.0,0.0,1.0,0.271792,0.9856,4e-08,29.6
41,0.39068,0.150563,0.240117,0.0,0.0,0.0,0.204107,0.00013,0.238072,0.0,0.0,1.0,0.271613,0.9856,3e-08,29.4
42,0.391555,0.14915,0.242405,0.0,0.0,0.0,0.20663,0.0,0.240338,0.0,0.0,1.0,0.271598,0.9856,3e-08,29.5
43,0.390053,0.149755,0.240298,0.0,0.0,0.0,0.206718,0.0,0.238231,0.0,0.0,1.0,0.271562,0.9856,3e-08,29.8
44,0.390003,0.150303,0.2397,0.0,0.0,0.0,0.206367,2e-06,0.237636,0.0,0.0,1.0,0.271382,0.9856,3e-08,29.5
45,0.387119,0.147628,0.239491,0.0,0.0,0.0,0.20431,0.0,0.237448,0.0,0.0,1.0,0.271278,0.9856,3e-08,30.0
46,0.390544,0.150962,0.239582,0.0,0.0,0.0,0.204841,0.000106,0.23753,0.0,0.0,0.9998,0.271127,0.9856,2e-08,29.7
47,0.390746,0.150154,0.240592,0.0,0.0,0.0,0.207777,5.5e-05,0.238512,0.0,0.0,1.0,0.271094,0.9856,2e-08,29.7
48,0.392705,0.150231,0.242474,0.0,0.0,0.0,0.207028,0.0,0.240404,0.0,0.0,1.0,0.271089,0.9856,2e-08,29.7
49,0.386272,0.145818,0.240454,0.0,0.0,0.0,0.207059,0.0,0.238384,0.0,0.0,1.0,0.271104,0.9856,2e-08,29.4
50,0.390147,0.149895,0.240252,0.0,0.0,0.0,0.20787,4.8e-05,0.238172,0.0,0.0,1.0,0.271107,0.9856,2e-08,28.9
51,0.390038,0.148294,0.241744,0.0,0.0,0.0,0.206767,5.9e-05,0.239675,0.0,0.0,1.0,0.271102,0.9856,2e-08,29.7
52,0.389982,0.148492,0.24149,0.0,0.0,0.0,0.208552,0.0,0.239405,0.0,0.0,1.0,0.271138,0.9856,1e-08,29.2
53,0.389888,0.149529,0.240359,0.0,0.0,0.0,0.205137,0.0,0.238308,0.0,0.0,1.0,0.271111,0.9856,1e-08,29.4
54,0.388653,0.149247,0.239406,0.0,0.0,0.0,0.206198,0.000225,0.237337,0.0,0.0,0.9998,0.271094,0.9856,1e-08,29.2
55,0.389212,0.1493,0.239912,0.0,0.0,0.0,0.20514,3.4e-05,0.237859,0.0,0.0,1.0,0.271078,0.9856,1e-08,29.3
56,0.388261,0.148322,0.239939,0.0,0.0,0.0,0.208728,0.000377,0.23784,0.0,0.0,0.9998,0.271078,0.9856,1e-08,29.5
57,0.391197,0.149857,0.241341,0.0,0.0,0.0,0.20484,2.9e-05,0.239291,0.0,0.0,1.0,0.271026,0.9856,1e-08,29.3
58,0.391441,0.149725,0.241716,0.0,0.0,0.0,0.205418,0.000149,0.239658,0.0,0.0,0.9998,0.270991,0.9856,1e-08,29.4
59,0.391511,0.149735,0.241777,0.0,0.0,0.0,0.206288,0.0,0.239714,0.0,0.0,1.0,0.270971,0.9856,1e-08,29.5
60,0.38677,0.146663,0.240107,0.0,0.0,0.0,0.206231,5.4e-05,0.238043,0.0,0.0,1.0,0.270966,0.9856,1e-08,29.5
